Date,Open,High,Low,Close,Adj Close,Volume
2014-10-01,100.589996,100.690002,98.699997,99.180000,93.816879,51491300
2014-10-02,99.269997,100.220001,98.040001,99.900002,94.497955,47757800
2014-10-03,99.440002,100.209999,99.040001,99.620003,94.233101,43469600
2014-10-06,99.949997,100.650002,99.419998,99.620003,94.233101,37051200
2014-10-07,99.430000,100.120003,98.730003,98.750000,93.410141,42094200
2014-10-08,98.760002,101.110001,98.309998,100.800003,95.349274,57404700
2014-10-09,101.540001,102.379997,100.610001,101.019997,95.557373,77376500
2014-10-10,100.690002,102.029999,100.300003,100.730003,95.283066,66331600
2014-10-13,101.330002,101.779999,99.809998,99.809998,94.412827,53583400
2014-10-14,100.389999,100.519997,98.570000,98.750000,93.410141,63688600
2014-10-15,97.970001,99.150002,95.180000,97.540001,92.265572,100933600
2014-10-16,95.550003,97.720001,95.410004,96.260002,91.054794,72154500
2014-10-17,97.500000,99.000000,96.809998,97.669998,92.388535,68179700
2014-10-20,98.320000,99.959999,98.220001,99.760002,94.365532,77517300
2014-10-21,103.019997,103.019997,101.269997,102.470001,96.928970,94623900
2014-10-22,102.839996,104.110001,102.599998,102.989998,97.420868,68263100
2014-10-23,104.080002,105.050003,103.629997,104.830002,99.161377,71074700
2014-10-24,105.180000,105.489998,104.529999,105.220001,99.530258,47053900
2014-10-27,104.849998,105.480003,104.699997,105.110001,99.426224,34187700
2014-10-28,105.400002,106.739998,105.349998,106.739998,100.968079,48060900
2014-10-29,106.650002,107.370003,106.360001,107.339996,101.535629,52687900
2014-10-30,106.959999,107.349998,105.900002,106.980003,101.195114,40654800
2014-10-31,108.010002,108.040001,107.209999,108.000000,102.159950,44639300
2014-11-03,108.220001,110.300003,108.010002,109.400002,103.484245,52282600
2014-11-04,109.360001,109.489998,107.720001,108.599998,102.727509,41574400
2014-11-05,109.099998,109.300003,108.129997,108.860001,102.973450,37435900
2014-11-06,108.599998,108.790001,107.800003,108.699997,103.267952,34968500
2014-11-07,108.750000,109.320000,108.550003,109.010002,103.562462,33691500
2014-11-10,109.019997,109.330002,108.669998,108.830002,103.391457,27195500
2014-11-11,108.699997,109.750000,108.400002,109.699997,104.217972,27442300
2014-11-12,109.379997,111.430000,109.370003,111.250000,105.690521,46942400
2014-11-13,111.800003,113.449997,111.599998,112.820000,107.182076,59522900
2014-11-14,113.150002,114.190002,111.209999,114.180000,108.474121,44063600
2014-11-17,114.269997,117.279999,113.300003,113.989998,108.293594,46746700
2014-11-18,113.940002,115.690002,113.889999,115.470001,109.699631,44224000
2014-11-19,115.440002,115.739998,113.800003,114.669998,108.939629,41869200
2014-11-20,114.910004,116.860001,114.849998,116.309998,110.497665,43395500
2014-11-21,117.510002,117.570000,116.029999,116.470001,110.649666,57179300
2014-11-24,116.849998,118.769997,116.620003,118.629997,112.701721,47450800
2014-11-25,119.070000,119.750000,117.449997,117.599998,111.723190,68840400
2014-11-26,117.940002,119.099998,117.830002,119.000000,113.053238,40768300
2014-11-28,119.269997,119.400002,118.050003,118.930000,112.986725,24814400
2014-12-01,118.809998,119.250000,111.269997,115.070000,109.319611,83814000
2014-12-02,113.500000,115.750000,112.750000,114.629997,108.901619,59348900
2014-12-03,115.750000,116.349998,115.110001,115.930000,110.136658,43063400
2014-12-04,115.769997,117.199997,115.290001,115.489998,109.718643,42044500
2014-12-05,115.989998,116.080002,114.639999,115.000000,109.253128,38318900
2014-12-08,114.099998,114.650002,111.620003,112.400002,106.783058,57664900
2014-12-09,110.190002,114.300003,109.349998,114.120003,108.417107,60208000
2014-12-10,114.410004,114.849998,111.540001,111.949997,106.355537,44565300
